"","eu_state","code","greenhouse","co2","ch4","ch4_co2","no2","no2_co2","hfc_co2","pfc_co2","nf3_sf6_co2","co2_bio_fuel","acidifying_gasses","sox_so2","nox_so2","nh3_so2","o3_precursors","nox_nmvoc","co","co_nmvoc","ch4_nmvoc","nox","ch3","part_u2_5","part_u10","non_ch4_vol","year"
"121","Slovenia","SI",430.55,345.97,2.24,55.96,0.07,21.1,6.53,0.47,0.53,23.91,2.05,0.24,0.83,0.98,2.38,1.44,2.62,0.29,0.03,1.18,0.52,0.09,0.13,0.62,2014
"122","Slovakia","SK",501.92,414.74,1.96,49.01,0.1,29.45,8.36,0.16,0.21,81.1,2.08,0.63,0.66,0.8,2.38,1.14,2.51,0.28,0.03,0.94,0.42,0.05,0.12,0.93,2014
"123","Turkey","TR",NA,475.09,3.49,87.22,0.18,54.45,NA,NA,NA,NA,5.96,3.02,0.78,2.16,3.02,1.36,1.47,0.16,0.05,1.12,1.14,NA,NA,1.45,2014
"124","UnitedKingdom","UK",217.9,177,1.01,25.33,0.03,9.35,5.84,0.14,0.24,11.35,0.82,0.18,0.4,0.23,1.09,0.7,0.47,0.05,0.01,0.58,0.12,0.03,0.06,0.32,2014
"125","Norway","NO",184.67,159.79,0.57,14.37,0.02,7.44,2.41,0.53,0.13,5.55,1.07,0.17,0.73,0.17,1.76,1.27,0.66,0.07,0.01,1.04,0.09,0.08,0.1,0.41,2014
"126","Italy","IT",224.01,174.2,1.14,28.62,0.04,10.72,9.14,1.07,0.26,13.06,0.99,0.19,0.34,0.46,1.03,0.6,0.33,0.04,0.02,0.49,0.24,0.04,0.06,0.38,2014
"127","Lithuania","LT",562.77,363.63,3.92,98.1,0.3,89.87,10.97,0,0.19,77.36,3.78,0.37,1.35,2.07,3.7,2.35,0.77,0.09,0.05,1.93,1.09,0.1,0.27,1.21,2014
"128","Luxembourg","LU",165.84,146.61,0.49,12.26,0.02,6.18,0.59,0,0.19,6.61,0.6,0.04,0.35,0.21,0.84,0.61,0.35,0.04,0.01,0.5,0.11,0.02,0.03,0.18,2014
"129","Latvia","LV",478.4,326.24,3.14,78.6,0.21,63.77,9.38,0,0.41,185.28,2.87,0.14,1.33,1.41,3.94,2.32,1.75,0.19,0.04,1.9,0.74,0.33,0.76,1.39,2014
"130","Malta","MT",388.17,334.08,0.89,22.29,0.02,6.07,25.64,0,0.09,1.34,1.62,0.61,0.65,0.36,1.45,1.14,0.73,0.08,0.01,0.93,0.19,0.06,0.13,0.22,2014
"131","Netherlands","NL",290.69,245.83,1.16,29.01,0.05,13.48,2.01,0.15,0.22,18.55,0.95,0.1,0.49,0.36,1.21,0.86,0.44,0.05,0.02,0.7,0.19,0.03,0.04,0.29,2014
"132","Poland","PL",969.04,761.91,5.04,126.02,0.2,60.44,20.49,0.03,0.15,63.25,4.48,1.52,1.41,1.55,4.1,2.45,2.03,0.22,0.07,2.01,0.81,0.2,0.38,1.35,2014
"133","France","FR",175.82,120.55,1.11,27.74,0.07,19.88,7.12,0.27,0.26,15.33,0.96,0.1,0.29,0.57,0.96,0.5,0.63,0.07,0.02,0.41,0.3,0.03,0.07,0.37,2015
"134","Croatia","HR",487.1,343.02,3.58,89.55,0.15,45.84,8.56,0,0.14,13.99,2.94,0.41,0.83,1.7,2.67,1.44,1.37,0.15,0.05,1.18,0.9,0.13,0.4,1.03,2015
"135","Hungary","HU",544.23,397.84,3.29,82.15,0.15,46.19,16.76,0.04,1.24,44.3,2.56,0.14,0.97,1.45,2.53,1.69,0.82,0.09,0.05,1.38,0.76,0.08,0.3,0.7,2015
"136","Austria","AT",184.83,148.02,0.83,20.75,0.03,10.27,4.71,0.16,0.92,54.89,0.66,0.04,0.22,0.39,0.7,0.39,0.74,0.08,0.01,0.32,0.2,0.02,0.06,0.22,2015
"137","Belgium","BE",256.73,210.97,0.79,19.71,0.05,15.93,9.49,0.39,0.25,24.64,0.74,0.09,0.3,0.35,0.84,0.52,0.7,0.08,0.01,0.43,0.18,0.02,0.04,0.23,2015
"138","Bulgaria","BG",1483.52,1191.23,6.68,166.89,0.35,105.29,19.65,0,0.46,49.54,6.14,3.46,1.72,0.96,4.57,2.99,2.45,0.27,0.09,2.45,0.51,0.19,0.7,1.22,2015
"139","Switzerland","CH",58.44,43.4,0.32,8,0.02,4.63,1.95,0.04,0.42,8.46,0.26,0.01,0.08,0.17,0.26,0.14,0.12,0.01,0,0.12,0.09,0.01,0.02,0.1,2015
"140","Cyprus","CY",411.82,334.87,2.1,52.53,0.05,13.76,9.61,0,1.04,7.66,2.27,0.83,0.47,0.97,1.24,0.81,0.35,0.04,0.03,0.67,0.51,0.04,0.09,0.36,2015
"141","Czechia","CZ",685.53,546.77,3.33,83.17,0.13,38.86,16.2,0.01,0.51,35.25,2.66,0.7,0.79,1.17,2.4,1.38,1.56,0.17,0.05,1.13,0.62,0.06,0.13,0.81,2015
"142","Germany","DE",284.08,246.15,0.79,19.69,0.05,13.97,2.99,0.09,1.2,27.75,1,0.13,0.44,0.44,1.17,0.76,0.64,0.07,0.01,0.62,0.23,0.05,0.09,0.33,2015
"143","Denmark","DK",326.97,271.53,1.19,29.79,0.08,23.42,1.7,0,0.51,46.33,5.77,2.28,2.91,0.58,5.65,5.08,0.66,0.07,0.02,4.16,0.31,0.18,0.22,0.48,2015
"144","Estonia","EE",983.28,865.67,2.28,57.06,0.17,49.96,10.46,0,0.13,127.01,4.92,2.27,1.54,1.1,3.77,2.69,2.67,0.29,0.03,2.21,0.58,0.45,0.72,0.75,2015
"145","Greece","EL",576.25,451.36,2.53,63.25,0.09,26.9,33.94,0.77,0.03,10.46,4.38,1.62,2.02,0.74,4.33,3.52,1.64,0.18,0.04,2.88,0.39,0.21,0.39,0.6,2015
"146","Ireland","IE",232.7,146.54,2.27,56.79,0.09,26.15,2.95,0.08,0.19,6.06,1.2,0.03,0.24,0.92,0.81,0.42,0.14,0.02,0.03,0.35,0.49,0.02,0.08,0.34,2015
"147","Spain","ES",284.31,221.29,1.52,38.09,0.06,16.92,7.7,0.09,0.23,14.07,1.65,0.26,0.52,0.87,1.51,0.9,0.99,0.11,0.02,0.74,0.46,0.07,0.13,0.47,2015
"148","Finland","FI",285.87,228.05,1.02,25.52,0.09,25.81,6.37,0.01,0.12,171.39,1.15,0.23,0.59,0.32,1.38,1.04,0.6,0.07,0.01,0.85,0.17,0.05,0.11,0.27,2015
"149","Iceland","IS",400.93,311.12,1.78,44.47,0.07,21.95,15.97,7.3,0.11,1.48,6.36,4.03,1.64,0.7,4.11,2.85,7.6,0.84,0.02,2.34,0.37,0.11,0.14,0.4,2015
"150","Portugal","PT",385.52,299.22,2.3,57.47,0.07,19.53,9.07,0.09,0.15,38.56,1.71,0.31,0.72,0.69,2.09,1.26,0.99,0.11,0.03,1.03,0.36,0.2,0.32,0.69,2015
"151","Romania","RO",722,473.34,6.65,166.25,0.25,75,6.99,0.05,0.37,20.57,4.45,1.09,0.92,2.44,2.83,1.6,2.02,0.22,0.09,1.31,1.28,0.14,0.39,0.92,2015
"152","Serbia","RS",NA,0,0,0,0,0,0,NA,0,0,16.7,11.97,2.7,2.03,7.35,4.71,4.48,0.49,0,3.86,1.07,0.46,0.87,2.15,2015
"153","Sweden","SE",124.16,99.36,0.44,11.05,0.04,11.46,2.08,0.09,0.13,106.83,0.64,0.08,0.31,0.25,0.85,0.54,0.42,0.05,0.01,0.44,0.13,0.03,0.06,0.26,2015
"154","Slovenia","SI",425.52,341.06,2.22,55.45,0.07,21.25,6.78,0.47,0.52,22.54,1.84,0.17,0.71,0.96,2.14,1.24,2.59,0.29,0.03,1.02,0.51,0.08,0.13,0.59,2015
"155","Slovakia","SK",486.58,403.77,1.85,46.18,0.09,27.31,9,0.12,0.2,84.43,2.24,0.91,0.6,0.74,2.27,1.05,2.33,0.26,0.03,0.86,0.39,0.05,0.14,0.94,2015
"156","Turkey","TR",NA,489.86,2.92,73.01,0.17,51,NA,NA,NA,NA,5.03,2.43,0.69,1.91,2.73,1.21,1.32,0.15,0.04,0.99,1,NA,NA,1.34,2015
"157","UnitedKingdom","UK",182.24,147.07,0.87,21.77,0.03,7.96,5.09,0.14,0.2,12.03,0.7,0.14,0.36,0.2,0.96,0.62,0.4,0.04,0.01,0.51,0.11,0.03,0.05,0.28,2015
"158","Norway","NO",222.45,195.53,0.63,15.71,0.03,8.36,2.23,0.47,0.15,6.74,1.55,0.42,0.95,0.18,2.18,1.65,0.75,0.08,0.01,1.36,0.09,0.12,0.14,0.44,2015
"159","Italy","IT",225.67,176.42,1.12,28.02,0.04,10.45,9.31,1.13,0.34,12.39,0.99,0.2,0.33,0.46,0.99,0.58,0.3,0.03,0.02,0.48,0.24,0.04,0.06,0.36,2015
"160","Lithuania","LT",575.75,377.19,3.82,95.46,0.3,89.12,13.82,0,0.16,94.66,3.92,0.43,1.42,2.06,3.8,2.48,0.8,0.09,0.05,2.03,1.08,0.09,0.26,1.18,2015
"161","Luxembourg","LU",171.63,153.41,0.46,11.56,0.02,5.93,0.55,0,0.19,6.58,0.63,0.04,0.38,0.2,0.88,0.67,0.32,0.04,0.01,0.55,0.11,0.02,0.03,0.17,2015
"162","Latvia","LV",471.98,325.52,2.91,72.81,0.21,63.87,9.31,0,0.47,186.19,2.77,0.12,1.27,1.37,3.78,2.22,1.61,0.18,0.04,1.82,0.72,0.33,0.81,1.34,2015
"163","Malta","MT",259.63,210.72,0.81,20.18,0.02,5.23,23.47,0,0.03,1.13,1.03,0.24,0.48,0.3,1.09,0.84,0.53,0.06,0.01,0.69,0.16,0.04,0.09,0.19,2015
"164","Netherlands","NL",292.67,248.1,1.14,28.55,0.05,13.41,2.23,0.15,0.22,18.05,0.91,0.08,0.47,0.36,1.17,0.81,0.43,0.05,0.02,0.67,0.19,0.02,0.04,0.3,2015
"165","Poland","PL",923.66,730.27,4.84,120.91,0.19,55.68,16.58,0.03,0.2,60.14,4.16,1.39,1.3,1.47,3.85,2.26,1.86,0.2,0.07,1.86,0.77,0.19,0.36,1.32,2015
"166","France","FR",173.09,119.48,1.08,27.12,0.06,19.01,6.9,0.33,0.26,15.62,0.91,0.09,0.27,0.56,0.9,0.46,0.62,0.07,0.02,0.38,0.3,0.03,0.06,0.35,2016
"167","Croatia","HR",461.43,327.95,3.49,87.36,0.13,37.72,8.23,0,0.16,16.23,2.68,0.36,0.77,1.55,2.58,1.34,1.27,0.14,0.05,1.1,0.81,0.13,0.39,1.05,2016
"168","Hungary","HU",523.22,379.6,3.14,78.62,0.16,47.03,16.63,0.04,1.3,42.04,2.4,0.13,0.86,1.41,2.29,1.49,0.72,0.08,0.04,1.23,0.74,0.08,0.27,0.67,2016
"169","Austria","AT",175.93,140.14,0.79,19.75,0.03,10.07,4.67,0.16,1.14,50.95,0.62,0.04,0.2,0.38,0.64,0.35,0.69,0.08,0.01,0.29,0.2,0.02,0.05,0.2,2016
"170","Belgium","BE",247.18,202.99,0.76,18.99,0.05,14.78,9.12,1.05,0.26,24.26,0.7,0.09,0.28,0.34,0.78,0.48,0.63,0.07,0.01,0.4,0.18,0.02,0.04,0.22,2016
"171","Bulgaria","BG",1349.51,1060.58,6.04,151.1,0.39,116.19,21.2,0,0.45,49.6,4.78,2.35,1.52,0.91,4.08,2.65,2.46,0.27,0.08,2.17,0.48,0.15,0.44,1.08,2016
"172","Switzerland","CH",58.72,43.87,0.32,7.96,0.02,4.61,1.9,0.03,0.35,9.11,0.26,0.01,0.08,0.17,0.26,0.14,0.12,0.01,0,0.12,0.09,0.01,0.02,0.09,2016
"173","Cyprus","CY",413.41,338.52,2.04,51.02,0.05,13.45,9.51,0,0.91,8.1,2.36,0.98,0.43,0.95,1.15,0.74,0.33,0.04,0.03,0.61,0.5,0.04,0.09,0.35,2016
"174","Czechia","CZ",669.04,537.52,3.03,75.83,0.13,38.11,17.08,0.01,0.49,37.22,2.19,0.56,0.7,0.92,2.19,1.23,1.51,0.17,0.04,1,0.49,0.06,0.12,0.75,2016
"175","Germany","DE",272.36,236.26,0.74,18.53,0.04,13.36,2.88,0.09,1.23,26.85,0.92,0.11,0.38,0.42,1.06,0.67,0.59,0.07,0.01,0.55,0.22,0.05,0.08,0.32,2016
"176","Denmark","DK",327.6,273.28,1.16,28.96,0.08,23.12,1.81,0,0.42,48.23,5.62,2.22,2.84,0.56,5.49,4.95,0.63,0.07,0.02,4.06,0.3,0.18,0.21,0.46,2016
"177","Estonia","EE",1022.29,912.56,2.12,53.02,0.15,46.09,10.49,0,0.13,132.26,4.75,2.18,1.55,1.02,3.79,2.7,3.08,0.34,0.03,2.21,0.54,0.35,0.57,0.72,2016
"178","Greece","EL",577.2,449.52,2.51,62.76,0.09,28.24,35.77,0.89,0.03,9.1,4.64,1.67,2.21,0.76,4.69,3.86,1.65,0.18,0.04,3.16,0.4,0.23,0.43,0.62,2016
"179","Ireland","IE",245.97,159.85,2.27,56.85,0.09,25.87,3.08,0.15,0.16,6.82,1.21,0.03,0.24,0.94,0.81,0.42,0.14,0.02,0.03,0.35,0.49,0.02,0.08,0.34,2016
"180","Spain","ES",262.44,202.04,1.47,36.71,0.05,16.13,7.25,0.09,0.23,14.13,1.54,0.22,0.47,0.85,1.41,0.82,0.94,0.1,0.02,0.67,0.45,0.07,0.12,0.47,2016
"181","Finland","FI",295.13,239.8,0.96,24.1,0.08,25.11,5.96,0.01,0.16,172.39,1.12,0.21,0.59,0.31,1.38,1.03,0.59,0.06,0.01,0.85,0.16,0.05,0.11,0.27,2016
"182","Iceland","IS",378.52,299.87,1.48,36.96,0.06,18.64,17.53,5.45,0.08,1.22,5.07,2.91,1.55,0.6,3.78,2.71,6.37,0.7,0.02,2.22,0.31,0.09,0.14,0.35,2016
"183","Portugal","PT",358,275.07,2.2,55.05,0.06,18.45,9.18,0.1,0.15,37.98,1.63,0.3,0.67,0.67,1.95,1.16,0.9,0.1,0.03,0.95,0.35,0.19,0.32,0.66,2016
"184","Romania","RO",644.92,417.78,6,150.11,0.23,69.2,7.47,0.04,0.33,21.57,3.69,0.69,0.81,2.19,2.55,1.42,1.96,0.22,0.08,1.16,1.15,0.13,0.34,0.83,2016
"185","Serbia","RS",NA,0,0,0,0,0,0,NA,0,0,16.54,11.85,2.66,2.03,7.29,4.63,4.05,0.45,0,3.8,1.07,0.47,0.9,2.21,2016
"186","Sweden","SE",122.14,98.03,0.42,10.62,0.04,11.17,2.11,0.08,0.14,108,0.66,0.11,0.32,0.24,0.85,0.56,0.41,0.05,0.01,0.46,0.12,0.03,0.06,0.24,2016
"187","Slovenia","SI",433.6,350.89,2.16,54.12,0.07,20.66,6.86,0.56,0.5,20.7,1.72,0.13,0.65,0.94,1.99,1.13,2.36,0.26,0.03,0.93,0.49,0.08,0.13,0.57,2016
"188","Slovakia","SK",482.62,401.59,1.79,44.76,0.09,27.84,8.26,0.09,0.08,78.46,1.63,0.34,0.55,0.74,2.12,0.96,2.3,0.25,0.03,0.78,0.39,0.04,0.11,0.89,2016
"189","Turkey","TR",NA,509.39,3.05,76.35,0.18,53.78,NA,NA,NA,NA,5.59,2.82,0.7,2.07,2.74,1.22,1.33,0.15,0.04,1,1.09,NA,NA,1.33,2016
"190","UnitedKingdom","UK",185.42,148.26,0.92,22.93,0.03,8.62,5.22,0.16,0.23,13.65,0.7,0.12,0.36,0.23,0.98,0.62,0.39,0.04,0.01,0.51,0.12,0.03,0.05,0.3,2016
"191","Norway","NO",202.99,175.24,0.65,16.18,0.03,8.32,2.47,0.63,0.13,7.85,1.17,0.28,0.7,0.19,1.75,1.23,0.77,0.08,0.01,1,0.1,0.08,0.11,0.43,2016
"192","Italy","IT",219.35,170.82,1.09,27.26,0.04,10.47,9.46,1.06,0.28,12.25,0.98,0.2,0.32,0.46,0.96,0.56,0.3,0.03,0.02,0.46,0.24,0.04,0.06,0.35,2016
"193","Lithuania","LT",541.85,351.33,3.57,89.14,0.28,83.69,17.55,0,0.14,93.65,3.69,0.42,1.34,1.94,3.57,2.33,0.73,0.08,0.05,1.91,1.02,0.08,0.24,1.11,2016
"194","Luxembourg","LU",162.67,144.88,0.45,11.2,0.02,5.89,0.51,0,0.19,6.47,0.59,0.04,0.36,0.19,0.83,0.62,0.34,0.04,0.01,0.51,0.1,0.02,0.03,0.16,2016
"195","Latvia","LV",454.3,309.87,2.88,72.12,0.21,62.18,9.69,0,0.45,188.33,2.63,0.11,1.17,1.35,3.47,2.03,1.47,0.16,0.04,1.66,0.71,0.32,0.73,1.24,2016
"196","Malta","MT",209.08,160.49,0.8,20.11,0.02,4.84,23.63,0,0.01,1.28,0.88,0.19,0.41,0.27,0.96,0.72,0.53,0.06,0.01,0.59,0.14,0.03,0.08,0.17,2016
"197","Netherlands","NL",284.25,241.22,1.12,28.11,0.04,12.63,1.91,0.17,0.21,17.89,0.86,0.06,0.44,0.35,1.12,0.77,0.42,0.05,0.02,0.63,0.18,0.02,0.04,0.29,2016
"198","Poland","PL",955.94,763.79,4.81,120.25,0.19,57.92,13.75,0.03,0.21,55.45,3.95,1.11,1.35,1.49,4.02,2.35,1.95,0.21,0.07,1.93,0.78,0.19,0.37,1.39,2016
"199","France","FR",171.04,118.5,1.05,26.3,0.06,19.25,6.42,0.34,0.23,15.3,0.88,0.08,0.25,0.55,0.87,0.44,0.62,0.07,0.01,0.36,0.29,0.03,0.06,0.35,2017
"200","Croatia","HR",455.93,326.48,3.29,82.32,0.13,39.07,7.92,0,0.14,19.12,2.66,0.29,0.75,1.62,2.44,1.3,1.29,0.14,0.05,1.07,0.85,0.13,0.38,0.95,2017
"201","Hungary","HU",498.35,365.65,2.9,72.46,0.15,43.41,15.76,0.02,1.05,40.07,2.26,0.16,0.79,1.31,2.11,1.38,0.72,0.08,0.04,1.13,0.69,0.07,0.23,0.61,2017
"202","Austria","AT",179.57,144.86,0.76,19.05,0.03,9.58,4.8,0.13,1.15,50.16,0.61,0.04,0.2,0.37,0.64,0.35,0.66,0.07,0.01,0.29,0.2,0.02,0.05,0.2,2017
"203","Belgium","BE",237.84,194.64,0.72,18.01,0.05,14.73,9.74,0.45,0.26,24.11,0.65,0.08,0.25,0.32,0.71,0.44,0.46,0.05,0.01,0.36,0.17,0.02,0.04,0.21,2017
"204","Bulgaria","BG",1305.71,1033.85,5.52,138.06,0.36,107.83,25.59,0,0.39,47.97,4.26,2.13,1.27,0.86,3.54,2.21,2.3,0.25,0.08,1.81,0.45,0.13,0.38,1,2017
"205","Switzerland","CH",58.63,43.38,0.32,7.93,0.02,4.97,1.96,0.05,0.33,9.57,0.26,0.01,0.08,0.17,0.26,0.14,0.11,0.01,0,0.12,0.09,0.01,0.02,0.1,2017
"206","Cyprus","CY",402.92,330.97,1.95,48.68,0.04,12.96,9.43,0,0.87,9.61,2.24,0.94,0.41,0.9,1.21,0.72,0.32,0.04,0.03,0.59,0.47,0.04,0.09,0.43,2017
"207","Czechia","CZ",601.46,481.5,2.73,68.26,0.12,34.43,16.83,0.01,0.42,35.35,1.93,0.5,0.63,0.8,1.96,1.1,1.31,0.14,0.04,0.91,0.42,0.05,0.11,0.68,2017
"208","Germany","DE",257.56,223.26,0.7,17.56,0.04,12.61,2.76,0.09,1.28,25.22,0.89,0.11,0.39,0.4,1.06,0.68,0.58,0.06,0.01,0.55,0.21,0.04,0.08,0.31,2017
"209","Denmark","DK",314.89,262.79,1.11,27.85,0.08,22.55,1.41,0,0.29,53.58,5.75,2.3,2.89,0.56,5.57,5.04,0.63,0.07,0.02,4.13,0.29,0.18,0.22,0.45,2017
"210","Estonia","EE",991.38,890.28,1.93,48.3,0.15,43.38,9.31,0,0.12,140.36,4.16,2.03,1.17,0.96,3.03,2.04,2.68,0.29,0.03,1.67,0.5,0.36,0.59,0.67,2017
"211","Greece","EL",606.17,477.65,2.55,63.78,0.1,28.34,35.56,0.82,0.03,9.87,5.01,1.88,2.38,0.75,4.99,4.15,1.69,0.19,0.04,3.4,0.39,0.25,0.43,0.62,2017
"212","Ireland","IE",234.69,153.19,2.14,53.52,0.08,24.93,2.73,0.17,0.15,7.27,1.14,0.03,0.22,0.89,0.77,0.39,0.12,0.01,0.03,0.32,0.47,0.02,0.07,0.33,2017
"213","Spain","ES",266.54,209.1,1.42,35.54,0.05,16.09,5.48,0.12,0.21,14.61,1.52,0.22,0.46,0.85,1.39,0.8,0.91,0.1,0.02,0.66,0.45,0.06,0.12,0.46,2017
"214","Finland","FI",267.8,215.78,0.9,22.48,0.08,23.99,5.42,0.01,0.12,177.07,1.02,0.18,0.55,0.29,1.28,0.96,0.56,0.06,0.01,0.79,0.15,0.04,0.1,0.25,2017
"215","Iceland","IS",345.54,278,1.26,31.42,0.06,16.73,15.79,3.49,0.12,1.17,4.39,2.43,1.45,0.51,3.48,2.53,5.78,0.64,0.02,2.07,0.27,0.08,0.12,0.3,2017
"216","Portugal","PT",371.62,291.23,2.11,52.73,0.06,18.03,9.38,0.1,0.15,36.52,1.58,0.29,0.65,0.64,1.92,1.13,0.98,0.11,0.03,0.93,0.34,0.19,0.31,0.65,2017
"217","Romania","RO",593.11,387.59,5.31,132.67,0.22,64.8,7.7,0.03,0.32,19.14,3.2,0.51,0.77,1.92,2.37,1.34,1.76,0.19,0.07,1.1,1.01,0.11,0.28,0.76,2017
"218","Serbia","RS",NA,0,0,0,0,0,0,NA,0,0,15.42,11,2.49,1.93,6.85,4.35,3.96,0.44,0,3.56,1.01,0.43,0.82,2.07,2017
"219","Sweden","SE",114.79,91.18,0.41,10.23,0.04,11.19,2,0.09,0.11,104.57,0.62,0.1,0.29,0.23,0.77,0.5,0.39,0.04,0.01,0.41,0.12,0.03,0.06,0.22,2017
"220","Slovenia","SI",411.7,336.04,1.99,49.73,0.06,18.88,6.15,0.47,0.42,20.8,1.55,0.12,0.57,0.86,1.82,0.99,2.34,0.26,0.03,0.81,0.45,0.07,0.13,0.54,2017
"221","Slovakia","SK",475.51,398.24,1.72,42.9,0.09,25.42,8.74,0.11,0.09,77.29,1.62,0.35,0.52,0.76,1.99,0.9,2.21,0.24,0.02,0.74,0.4,0.04,0.11,0.83,2017
"222","Turkey","TR",NA,544.8,3.14,78.45,0.19,57.36,NA,NA,NA,NA,6,3.07,0.71,2.23,2.82,1.23,1.18,0.13,0.04,1.01,1.17,NA,NA,1.42,2017
"223","UnitedKingdom","UK",184.75,146.44,0.95,23.84,0.03,9.03,4.97,0.23,0.24,14.87,0.63,0.09,0.3,0.24,0.89,0.52,0.4,0.04,0.01,0.43,0.12,0.03,0.06,0.31,2017
"224","Norway","NO",197.96,172.34,0.6,14.89,0.03,7.76,2.43,0.42,0.11,9.1,1.21,0.34,0.7,0.18,1.7,1.22,0.74,0.08,0.01,1,0.09,0.09,0.12,0.39,2017
"225","Italy","IT",215.72,168.27,1.07,26.68,0.03,10.16,9.48,0.84,0.28,11.84,1.02,0.23,0.34,0.44,0.99,0.59,0.28,0.03,0.01,0.48,0.23,0.05,0.06,0.36,2017
"226","Lithuania","LT",523.63,348.21,3.22,80.59,0.26,78.63,15.99,0,0.2,96.68,3.43,0.35,1.29,1.79,3.42,2.26,0.75,0.08,0.05,1.85,0.94,0.07,0.23,1.04,2017
"227","Luxembourg","LU",158.14,140.58,0.44,11.02,0.02,5.76,0.59,0,0.19,7.47,0.58,0.04,0.34,0.19,0.8,0.6,0.36,0.04,0.01,0.49,0.1,0.02,0.03,0.16,2017
"228","Latvia","LV",432.61,295.55,2.76,68.93,0.2,58.94,8.75,0,0.44,182.66,2.5,0.11,1.09,1.3,3.22,1.9,1.33,0.15,0.04,1.56,0.68,0.32,0.66,1.14,2017
"229","Malta","MT",203.06,160.35,0.69,17.2,0.01,4.27,21.14,0,0.09,0.88,0.63,0.07,0.33,0.23,0.79,0.57,0.47,0.05,0.01,0.47,0.12,0.03,0.06,0.15,2017
"230","Netherlands","NL",269.12,228.04,1.06,26.5,0.04,12.5,1.81,0.08,0.19,17.41,0.82,0.06,0.42,0.34,1.06,0.73,0.4,0.04,0.01,0.6,0.18,0.02,0.04,0.28,2017
"231","Poland","PL",914.28,734.94,4.41,110.35,0.19,55.85,12.9,0.03,0.2,50.74,3.76,1.01,1.32,1.43,3.88,2.3,1.91,0.21,0.06,1.89,0.75,0.19,0.35,1.3,2017
"232","France","FR",160.63,111.2,1.01,25.26,0.06,17.98,5.65,0.32,0.21,15.17,0.84,0.08,0.23,0.53,0.82,0.41,0.58,0.06,0.01,0.33,0.28,0.02,0.06,0.33,2018
"233","Croatia","HR",413.43,293.95,3.02,75.43,0.12,36.3,7.62,0,0.13,26.21,2.46,0.22,0.68,1.55,2.27,1.19,1.04,0.11,0.04,0.98,0.82,0.14,0.39,0.92,2018
"234","Hungary","HU",472.01,346.55,2.73,68.2,0.14,41.03,15.38,0.02,0.84,39.67,2.1,0.14,0.74,1.22,1.99,1.29,0.66,0.07,0.04,1.06,0.64,0.07,0.24,0.59,2018
"235","Austria","AT",165.87,133.1,0.71,17.72,0.03,9.11,4.75,0.09,1.09,46.78,0.57,0.03,0.19,0.35,0.59,0.33,0.59,0.06,0.01,0.27,0.18,0.02,0.05,0.19,2018
"236","Belgium","BE",230.6,189.53,0.69,17.26,0.05,13.6,9.66,0.32,0.23,23.06,0.62,0.08,0.24,0.31,0.68,0.41,0.56,0.06,0.01,0.34,0.16,0.02,0.04,0.2,2018
"237","Bulgaria","BG",1124.91,873.44,4.94,123.55,0.33,98.12,29.42,0,0.37,82.54,3.7,1.72,1.13,0.85,3.13,1.97,2.01,0.22,0.07,1.62,0.44,0.13,0.4,0.86,2018
"238","Switzerland","CH",57.73,42.88,0.32,7.89,0.02,4.63,2.01,0.06,0.26,9.47,0.26,0.01,0.08,0.17,0.26,0.15,0.11,0.01,0,0.12,0.09,0.01,0.02,0.09,2018
"239","Cyprus","CY",385.62,317,1.85,46.14,0.04,12.4,9.22,0,0.87,10.82,2.19,0.92,0.42,0.86,1.13,0.73,0.3,0.03,0.03,0.59,0.45,0.04,0.09,0.35,2018
"240","Czechia","CZ",556.94,449.2,2.48,62.07,0.1,29.56,15.73,0.01,0.37,30.83,1.69,0.4,0.55,0.74,1.75,0.96,1.22,0.13,0.03,0.79,0.39,0.05,0.1,0.61,2018
"241","Germany","DE",241.73,209.78,0.66,16.43,0.04,11.67,2.48,0.1,1.28,24.05,0.87,0.1,0.39,0.37,1.05,0.68,0.54,0.06,0.01,0.56,0.2,0.04,0.07,0.3,2018
"242","Denmark","DK",313.96,263.31,1.1,27.62,0.07,21.17,1.59,0,0.28,52.34,5.87,2.37,2.97,0.54,5.7,5.17,0.64,0.07,0.02,4.24,0.28,0.19,0.23,0.44,2018
"243","Estonia","EE",868.38,776.05,1.76,44.07,0.13,39.51,8.64,0,0.11,114.74,3.43,1.54,1.02,0.87,2.63,1.78,2.31,0.25,0.02,1.46,0.46,0.22,0.42,0.58,2018
"244","Greece","EL",598.24,471.8,2.56,64.01,0.09,27.79,33.75,0.87,0.03,10.53,5.33,2.06,2.53,0.74,5.24,4.4,1.69,0.19,0.04,3.61,0.39,0.26,0.41,0.61,2018
"245","Ireland","IE",213.8,139.37,1.95,48.86,0.08,23.42,1.84,0.16,0.14,7.36,1.06,0.02,0.2,0.84,0.68,0.35,0.09,0.01,0.03,0.29,0.44,0.01,0.06,0.3,2018
"246","Spain","ES",252.64,197.56,1.38,34.58,0.05,15.79,4.38,0.12,0.21,14.45,1.43,0.19,0.42,0.82,1.33,0.74,1.02,0.11,0.02,0.61,0.43,0.07,0.13,0.46,2018
"247","Finland","FI",266.52,216.62,0.86,21.54,0.08,23.13,5.12,0.01,0.1,178.76,0.95,0.16,0.5,0.28,1.18,0.87,0.54,0.06,0.01,0.72,0.15,0.04,0.09,0.24,2018
